,정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명,legal_dong
55595,GGB164000131,원흥아파트,37.42445,126.6444167,2023-10-16,38131.0,23,인천광역시,경기,옥련동
55826,GGB164000144,우리사랑병원,37.4166,126.6727333,2023-10-16,38144.0,23,인천광역시,경기,동춘동
55827,GGB164000162,원인재역(1번출구),37.4127667,126.6886667,2023-10-16,38162.0,23,인천광역시,경기,연수동
55828,GGB164000166,원인재역(6번출구),37.4130667,126.6882833,2023-10-16,38166.0,23,인천광역시,경기,연수동
55829,GGB164000168,현대3차아파트,37.4264833,126.6449833,2023-10-16,38168.0,23,인천광역시,경기,옥련동
55830,GGB164000173,현대아파트,37.4265167,126.6466333,2023-10-16,38173.0,23,인천광역시,경기,옥련동
55831,GGB164000176,현대5차아파트,37.4268333,126.6464667,2023-10-16,38176.0,23,인천광역시,경기,옥련동
55832,GGB164000183,현대4차아파트,37.4260167,126.6504833,2023-10-16,38183.0,23,인천광역시,경기,옥련동
55833,GGB164000186,현대4차아파트,37.4262333,126.6505167,2023-10-16,38186.0,23,인천광역시,경기,옥련동
55834,GGB164000204,성호아파트,37.42275,126.6681167,2023-10-16,38204.0,23,인천광역시,경기,청학동
55835,GGB164000207,송도재래시장,37.4264,126.6566167,2023-10-16,38207.0,23,인천광역시,경기,옥련동
55836,GGB164000210,송도재래시장,37.4270333,126.6572333,2023-10-16,38210.0,23,인천광역시,경기,옥련동
55837,GGB164000212,옥련고개,37.4286333,126.65285,2023-10-16,38212.0,23,인천광역시,경기,옥련동
55838,GGB164000215,송도고입구,37.4306667,126.6468833,2023-10-16,38215.0,23,인천광역시,경기,옥련동
55839,GGB164000217,옥련동주민센터,37.4278833,126.6558,2023-10-16,38217.0,23,인천광역시,경기,옥련동
55840,GGB164000219,옥련고개,37.42905,126.65265,2023-10-16,38219.0,23,인천광역시,경기,옥련동
55841,GGB164000221,송도고입구,37.4309,126.6472167,2023-10-16,38221.0,23,인천광역시,경기,옥련동
55842,GGB164000228,신연수역(3번출구),37.4176167,126.6931,2023-10-16,38228.0,23,인천광역시,경기,연수동
55843,GGB164000231,신연수역(2번출구),37.41755,126.6937167,2023-10-16,38231.0,23,인천광역시,경기,연수동
55844,GGB164000240,신연수(풍림아파트),37.4183833,126.69185,2023-10-16,38240.0,23,인천광역시,경기,연수동
55845,GGB164000260,효정아파트,37.4247667,126.67285,2023-10-16,38260.0,23,인천광역시,경기,연수동
55846,GGB164000261,비류마을,37.4251167,126.6727,2023-10-16,38261.0,23,인천광역시,경기,연수동
55847,GGB164000271,옥련여고입구,37.4340167,126.6469833,2023-10-16,38271.0,23,인천광역시,경기,옥련동
55848,GGB164000273,옥련여고입구,37.4341333,126.6472667,2023-10-16,38273.0,23,인천광역시,경기,옥련동
55849,GGB164000280,연수우체국,37.4238833,126.6835,2023-10-16,38280.0,23,인천광역시,경기,연수동
55850,GGB164000287,인천여자고등학교,37.4227833,126.6903833,2023-10-16,38287.0,23,인천광역시,경기,연수동
55851,GGB164000289,인천여자고등학교,37.4231333,126.6903333,2023-10-16,38289.0,23,인천광역시,경기,연수동
55852,GGB164000295,선학사거리,37.4229833,126.6959167,2023-10-16,38295.0,23,인천광역시,경기,연수동
55853,GGB164000296,연수병원,37.42345,126.69625,2023-10-16,38296.0,23,인천광역시,경기,선학동
55854,GGB164000305,선학역,37.42745,126.6987,2023-10-16,38305.0,23,인천광역시,경기,선학동
55855,GGB164000306,선학역(1번출구),37.4273833,126.6992333,2023-10-16,38306.0,23,인천광역시,경기,선학동
55856,GGB164000310,문학경기장(박태환수영장),37.4351833,126.6975,2023-10-16,38310.0,23,인천광역시,경기,선학동
55857,GGB164000314,연수우체국,37.4242167,126.6840167,2023-10-16,38314.0,23,인천광역시,경기,연수동
55858,GGB164000336,원흥아파트,37.4246667,126.6448167,2023-10-16,38336.0,23,인천광역시,경기,옥련동
55859,GGB164000337,동남아파트(무지개아파트),37.4005,126.66935,2023-10-16,38337.0,23,인천광역시,경기,동춘동
55860,GGB164000339,신연수(풍림아파트),37.4186167,126.69165,2023-10-16,38339.0,23,인천광역시,경기,연수동
55861,GGB164000340,시대아파트,37.4222667,126.6685,2023-10-16,38340.0,23,인천광역시,경기,청학동
55862,GGB164000342,현대3차아파트,37.4263167,126.6445667,2023-10-16,38342.0,23,인천광역시,경기,옥련동
55863,GGB164000344,동아금호아파트,37.4116,126.67785,2023-10-16,38344.0,23,인천광역시,경기,연수동
55864,GGB164000345,대동아파트,37.40515,126.6697333,2023-10-16,38345.0,23,인천광역시,경기,동춘동
55865,GGB164000346,동춘역,37.4047167,126.6797167,2023-10-16,38346.0,23,인천광역시,경기,동춘동
55866,GGB164000347,동아금호아파트,37.4113333,126.6775167,2023-10-16,38347.0,23,인천광역시,경기,동춘동
55867,GGB164000348,솔안공원,37.4125,126.6831833,2023-10-16,38348.0,23,인천광역시,경기,연수동
55868,GGB164000349,금호아파트,37.3927167,126.65625,2023-10-16,38349.0,23,인천광역시,경기,송도동
55869,GGB164000350,풍림2.3차아파트,37.3927167,126.6529333,2023-10-16,38350.0,23,인천광역시,경기,송도동
55870,GGB164000352,웰카운티,37.3800833,126.64735,2023-10-16,38352.0,23,인천광역시,경기,송도동
55871,GGB164000353,웰카운티,37.3798833,126.6475667,2023-10-16,38353.0,23,인천광역시,경기,송도동
55872,GGB164000354,생산기술연구원,37.3832167,126.6495833,2023-10-16,38354.0,23,인천광역시,경기,송도동
55873,GGB164000366,무지개아파트,37.40285,126.6703333,2023-10-16,38366.0,23,인천광역시,경기,동춘동
55874,GGB164000367,송도컨벤시아,37.3884833,126.6483,2023-10-16,38367.0,23,인천광역시,경기,송도동
55875,GGB164000368,미추홀공원,37.3849167,126.6451333,2023-10-16,38368.0,23,인천광역시,경기,송도동
55876,GGB164000369,송도컨벤시아,37.3883,126.6485667,2023-10-16,38369.0,23,인천광역시,경기,송도동
55877,GGB164000372,컨벤시아,37.3897,126.6472167,2023-10-16,38372.0,23,인천광역시,경기,송도동
55878,GGB164000375,인천대학교자연과학대학,37.3749833,126.6365,2023-10-16,38375.0,23,인천광역시,경기,송도동
55879,GGB164000376,인천대학교공과대학,37.3731167,126.63475,2023-10-16,38376.0,23,인천광역시,경기,송도동
55880,GGB164000377,인천대학교공과대학,37.3723833,126.6345167,2023-10-16,38377.0,23,인천광역시,경기,송도동
55881,GGB164000378,인천대학교자연과학대학,37.3742833,126.6363,2023-10-16,38378.0,23,인천광역시,경기,송도동
55882,GGB164000381,송도더샵퍼스트월드(서문),37.3900333,126.6473167,2023-10-16,38381.0,23,인천광역시,경기,송도동
55883,GGB164000384,서면초등학교,37.4030833,126.67025,2023-10-16,38384.0,23,인천광역시,경기,동춘동
55884,GGB164000385,인천대정문,37.3783667,126.6345667,2023-10-16,38385.0,23,인천광역시,경기,송도동
55885,GGB164000386,인천대정문,37.3776,126.6352,2023-10-16,38386.0,23,인천광역시,경기,송도동
55886,GGB164000390,인천스타트업파크,37.3870833,126.6411,2023-10-16,38390.0,23,인천광역시,경기,송도동
55887,GGB164000393,송도힐스테이트5단지,37.3949,126.6488333,2023-10-16,38393.0,23,인천광역시,경기,송도동
55888,GGB164000394,인천스타트업파크,37.3872167,126.6405333,2023-10-16,38394.0,23,인천광역시,경기,송도동
55889,GGB164000395,인천대입구역,37.3854333,126.6386,2023-10-16,38395.0,23,인천광역시,경기,송도동
55890,GGB164000396,인천대입구역,37.3850667,126.6389333,2023-10-16,38396.0,23,인천광역시,경기,송도동
55891,GGB164000397,센트럴파크역,37.3923833,126.6357,2023-10-16,38397.0,23,인천광역시,경기,송도동
55892,GGB164000409,이안송도,37.3967667,126.6515667,2023-10-16,38409.0,23,인천광역시,경기,송도동
55893,GGB164000410,더프라우,37.3970833,126.6510833,2023-10-16,38410.0,23,인천광역시,경기,송도동
55894,GGB164000411,해양경찰청,37.3949333,126.6495667,2023-10-16,38411.0,23,인천광역시,경기,송도동
55895,GGB164000419,캠퍼스타운역,37.3874333,126.6615,2023-10-16,38419.0,23,인천광역시,경기,송도동
55896,GGB164000420,캠퍼스타운역,37.3864833,126.6613833,2023-10-16,38420.0,23,인천광역시,경기,송도동
55897,GGB164000421,테크노파크역,37.38185,126.6561833,2023-10-16,38421.0,23,인천광역시,경기,송도동
55898,GGB164000422,테크노파크역,37.3815833,126.6565167,2023-10-16,38422.0,23,인천광역시,경기,송도동
55899,GGB164000424,인천가톨릭대,37.3840333,126.6438333,2023-10-16,38424.0,23,인천광역시,경기,송도동
55900,GGB164000425,송도더샵퍼스트월드B동.C동,37.3927,126.6472,2023-10-16,38425.0,23,인천광역시,경기,송도동
55901,GGB164000426,송도푸르지오월드마크,37.3926667,126.6463667,2023-10-16,38426.0,23,인천광역시,경기,송도동
55902,GGB164000433,동막역(3번출구),37.39825,126.6727667,2023-10-16,38433.0,23,인천광역시,경기,동춘동
55903,GGB164000441,송도더샵마스터뷰23단지,37.3814167,126.635,2023-10-16,38441.0,23,인천광역시,경기,송도동
55904,GGB164000442,송도더샵마스터뷰23단지,37.3813167,126.63415,2023-10-16,38442.0,23,인천광역시,경기,송도동
55905,GGB164000448,한국생산기술연구원,37.3837667,126.64935,2023-10-16,38448.0,23,인천광역시,경기,송도동
55906,GGB164000452,송도센트럴파크,37.3921667,126.6348833,2023-10-16,38452.0,23,인천광역시,경기,송도동
55907,GGB167000140,계양CGV,37.5337,126.7342,2023-10-16,41140.0,23,인천광역시,경기,작전동
55908,GGB167000143,동보아파트,37.5326167,126.7385167,2023-10-16,41143.0,23,인천광역시,경기,작전동
55909,GGB167000149,까치공원.작전도서관,37.5332833,126.7382167,2023-10-16,41149.0,23,인천광역시,경기,작전동
55910,GGB167000153,뉴서울아파트,37.5346,126.7339,2023-10-16,41153.0,23,인천광역시,경기,계산동
55911,GGB167000167,계산공고,37.53365,126.73925,2023-10-16,41167.0,23,인천광역시,경기,작전동
55912,GGB167000169,계산공고앞,37.5343333,126.7383667,2023-10-16,41169.0,23,인천광역시,경기,계산동
55913,GGB167000170,계산공고,37.53385,126.7403833,2023-10-16,41170.0,23,인천광역시,경기,계산동
55914,GGB167000173,대동아파트,37.5332333,126.7433833,2023-10-16,41173.0,23,인천광역시,경기,작전동
55915,GGB167000175,부현동초등학교,37.5342667,126.7413333,2023-10-16,41175.0,23,인천광역시,경기,계산동
55916,GGB167000176,계산시장,37.5401667,126.7228833,2023-10-16,41176.0,23,인천광역시,경기,계산동
55917,GGB167000177,계양구청,37.5356,126.7384667,2023-10-16,41177.0,23,인천광역시,경기,계산동
55918,GGB167000180,계양구청,37.5357833,126.73885,2023-10-16,41180.0,23,인천광역시,경기,계산동
55919,GGB167000183,태평아파트,37.5354833,126.7414667,2023-10-16,41183.0,23,인천광역시,경기,계산동
55920,GGB167000184,계양경찰서,37.5377,126.7342833,2023-10-16,41184.0,23,인천광역시,경기,계산동
55921,GGB167000185,계양경찰서,37.5376833,126.7346,2023-10-16,41185.0,23,인천광역시,경기,계산동
55922,GGB167000186,계양산장미원입구.계산동자연풀장,37.5444667,126.71285,2023-10-16,41186.0,23,인천광역시,경기,계산동
55923,GGB167000188,계양구청,37.5366333,126.7386,2023-10-16,41188.0,23,인천광역시,경기,계산동
55924,GGB167000189,계양산장미원입구.계산동자연풀장,37.5447167,126.7132167,2023-10-16,41189.0,23,인천광역시,경기,계산동
55925,GGB167000191,교통연수원,37.5439667,126.71675,2023-10-16,41191.0,23,인천광역시,경기,계산동
55926,GGB167000192,교통연수원,37.5435833,126.7173833,2023-10-16,41192.0,23,인천광역시,경기,계산동
55927,GGB167000193,태산아파트,37.53575,126.74125,2023-10-16,41193.0,23,인천광역시,경기,계산동
55928,GGB167000194,계양경찰서.계양구청,37.5378667,126.7361167,2023-10-16,41194.0,23,인천광역시,경기,계산동
55929,GGB167000195,계양경찰서,37.5382,126.7361,2023-10-16,41195.0,23,인천광역시,경기,계산동
55930,GGB167000196,계산삼거리,37.5422,126.7228667,2023-10-16,41196.0,23,인천광역시,경기,계산동
55931,GGB167000197,계양구청,37.5378,126.7375833,2023-10-16,41197.0,23,인천광역시,경기,계산동
55932,GGB167000198,은행마을,37.53675,126.7416333,2023-10-16,41198.0,23,인천광역시,경기,계산동
55933,GGB167000199,계산삼거리(신도브래뉴),37.54245,126.7224,2023-10-16,41199.0,23,인천광역시,경기,계산동
55934,GGB167000201,계산삼거리(신도브래뉴),37.5425,126.72295,2023-10-16,41201.0,23,인천광역시,경기,계산동
55935,GGB167000202,신동양아파트,37.5434333,126.72035,2023-10-16,41202.0,23,인천광역시,경기,계산동
55936,GGB167000203,신동양아파트,37.5438167,126.7206833,2023-10-16,41203.0,23,인천광역시,경기,계산동
55937,GGB167000204,계양구청앞,37.5379333,126.7400333,2023-10-16,41204.0,23,인천광역시,경기,용종동
55938,GGB167000205,삼보아파트(계양구청),37.5376167,126.7402833,2023-10-16,41205.0,23,인천광역시,경기,계산동
55939,GGB167000207,서운동성당,37.53685,126.7441,2023-10-16,41207.0,23,인천광역시,경기,계산동
55940,GGB167000224,계산여자고등학교,37.53825,126.74245,2023-10-16,41224.0,23,인천광역시,경기,용종동
55941,GGB167000227,롯데마트계양점.고용복지센터,37.5405833,126.7353667,2023-10-16,41227.0,23,인천광역시,경기,계산동
55942,GGB167000246,오조산공원,37.5399833,126.7392667,2023-10-16,41246.0,23,인천광역시,경기,용종동
55943,GGB167000249,오조산공원,37.5406167,126.7389667,2023-10-16,41249.0,23,인천광역시,경기,용종동
55944,GGB167000250,하나아파트,37.5429667,126.7313667,2023-10-16,41250.0,23,인천광역시,경기,계산동
55945,GGB167000251,계양도서관,37.5433333,126.7311,2023-10-16,41251.0,23,인천광역시,경기,계산동
55946,GGB167000252,초정마을,37.5399333,126.7419,2023-10-16,41252.0,23,인천광역시,경기,용종동
55947,GGB167000254,초정마을,37.5402,126.7417167,2023-10-16,41254.0,23,인천광역시,경기,용종동
55948,GGB167000268,중앙공영아파트,37.5413333,126.7402667,2023-10-16,41268.0,23,인천광역시,경기,용종동
55949,GGB167000271,신대진중앙아파트,37.5418833,126.7394833,2023-10-16,41271.0,23,인천광역시,경기,용종동
55950,GGB167000274,신대진중앙아파트,37.5422667,126.73915,2023-10-16,41274.0,23,인천광역시,경기,용종동
55951,GGB167000283,임학사거리,37.5440833,126.7376,2023-10-16,41283.0,23,인천광역시,경기,임학동
55952,GGB167000287,임학지하차도앞사거리,37.5435833,126.7415833,2023-10-16,41287.0,23,인천광역시,경기,병방동
55953,GGB167000288,임학지하차도앞사거리,37.5435,126.74255,2023-10-16,41288.0,23,인천광역시,경기,용종동
55954,GGB167000290,임학역,37.5452,126.7389,2023-10-16,41290.0,23,인천광역시,경기,임학동
55955,GGB167000292,임학역,37.5454833,126.7388667,2023-10-16,41292.0,23,인천광역시,경기,임학동
55956,GGB167000299,병방초등학교.계양산전통시장,37.5471833,126.7401667,2023-10-16,41299.0,23,인천광역시,경기,임학동
55957,GGB167000306,계양산전통시장,37.5480667,126.7412833,2023-10-16,41306.0,23,인천광역시,경기,병방동
55958,GGB167000307,청소년수련관.어린이과학관,37.5502333,126.7423167,2023-10-16,41307.0,23,인천광역시,경기,방축동
55959,GGB167000308,청소년수련관.어린이과학관,37.5502,126.7428167,2023-10-16,41308.0,23,인천광역시,경기,병방동
55960,GGB167000309,박촌역,37.5547333,126.7453,2023-10-16,41309.0,23,인천광역시,경기,박촌동
55961,GGB167000310,박촌역,37.5548667,126.7456,2023-10-16,41310.0,23,인천광역시,경기,박촌동
55962,GGB167000315,킹스빌타운,37.5570667,126.74555,2023-10-16,41315.0,23,인천광역시,경기,박촌동
55963,GGB167000321,부대앞,37.5610333,126.7441,2023-10-16,41321.0,23,인천광역시,경기,박촌동
55964,GGB167000322,부대앞,37.5615333,126.74325,2023-10-16,41322.0,23,인천광역시,경기,귤현동
55965,GGB167000326,귤현동마을입구,37.5643667,126.7424167,2023-10-16,41326.0,23,인천광역시,경기,귤현동
55966,GGB167000328,귤현동마을입구,37.5642667,126.7426667,2023-10-16,41328.0,23,인천광역시,경기,귤현동
55967,GGB167000331,귤현역,37.5661833,126.7424667,2023-10-16,41331.0,23,인천광역시,경기,귤현동
55968,GGB167000332,귤현역,37.5662167,126.7422,2023-10-16,41332.0,23,인천광역시,경기,귤현동
55969,GGB167000340,계양중학교,37.5695167,126.7401333,2023-10-16,41340.0,23,인천광역시,경기,귤현동
55970,GGB167000341,계양중학교,37.5697,126.7405,2023-10-16,41341.0,23,인천광역시,경기,귤현동
55971,GGB167000345,장기동,37.5774167,126.7330667,2023-10-16,41345.0,23,인천광역시,경기,장기동
55972,GGB167000346,장기동,37.5779167,126.7325333,2023-10-16,41346.0,23,인천광역시,경기,장기동
55973,GGB167000347,장기동,37.5779167,126.7353,2023-10-16,41347.0,23,인천광역시,경기,장기동
55974,GGB167000348,장기동,37.5786,126.7347167,2023-10-16,41348.0,23,인천광역시,경기,장기동
55975,GGB167000349,신동아아파트,37.5795167,126.7318833,2023-10-16,41349.0,23,인천광역시,경기,장기동
55976,GGB167000350,신동아아파트,37.5797167,126.7317,2023-10-16,41350.0,23,인천광역시,경기,오류동
55977,GGB167000351,갈현동마을,37.5816833,126.7269833,2023-10-16,41351.0,23,인천광역시,경기,갈현동
55978,GGB167000352,갈현동마을,37.5817833,126.7272333,2023-10-16,41352.0,23,인천광역시,경기,오류동
55979,GGB167000353,오류동마을,37.58685,126.7240333,2023-10-16,41353.0,23,인천광역시,경기,오류동
55980,GGB167000354,오류동마을,37.587,126.7242667,2023-10-16,41354.0,23,인천광역시,경기,오류동
55981,GGB167000357,계양역,37.5710667,126.7358167,2023-10-16,41357.0,23,인천광역시,경기,귤현동
55982,GGB167000358,계양역,37.5709667,126.7359167,2023-10-16,41358.0,23,인천광역시,경기,귤현동
55983,GGB167000372,동양주공1.2단지,37.5588,126.75545,2023-10-16,41372.0,23,인천광역시,경기,동양동
55984,GGB167000373,동양주공1.2단지,37.5585667,126.7552667,2023-10-16,41373.0,23,인천광역시,경기,동양동
55985,GGB167000374,풍림아파트,37.5565833,126.7468833,2023-10-16,41374.0,23,인천광역시,경기,박촌동
55986,GGB167000375,한화아파트,37.5563667,126.7466833,2023-10-16,41375.0,23,인천광역시,경기,박촌동
55987,GGB167000383,백승아파트,37.56415,126.7448,2023-10-16,41383.0,23,인천광역시,경기,귤현동
55988,GGB167000384,백승아파트,37.5641,126.7445667,2023-10-16,41384.0,23,인천광역시,경기,귤현동
56143,GGB164000467,GS자이아파트,37.3970667,126.64255,2023-10-16,38467.0,23,인천광역시,경기,송도동
56144,GGB164000468,GS자이아파트,37.3969167,126.6423333,2023-10-16,38468.0,23,인천광역시,경기,송도동
56145,GGB164000469,쌍용아파트,37.4256167,126.65345,2023-10-16,38469.0,23,인천광역시,경기,옥련동
56146,GGB164000470,옥련중학교,37.4258833,126.6533,2023-10-16,38470.0,23,인천광역시,경기,옥련동
56147,GGB164000472,송도공영차고지,37.3710833,126.63875,2023-10-16,38472.0,23,인천광역시,경기,송도동
56148,GGB164000487,더샵하버뷰,37.3957833,126.6443833,2023-10-16,38487.0,23,인천광역시,경기,송도동
56149,GGB164000488,자이하버뷰,37.3956,126.6442167,2023-10-16,38488.0,23,인천광역시,경기,송도동
56150,GGB164000489,연세대송도캠퍼스입구,37.3894167,126.6641667,2023-10-16,38489.0,23,인천광역시,경기,송도동
56151,GGB164000490,센트럴공원,37.3902,126.6437,2023-10-16,38490.0,23,인천광역시,경기,송도동
56152,GGB164000491,포스코타워앤쉐라톤호텔,37.3899833,126.6442167,2023-10-16,38491.0,23,인천광역시,경기,송도동
56153,GGB164000494,송도푸르지오하버뷰,37.3980667,126.6406167,2023-10-16,38494.0,23,인천광역시,경기,송도동
56154,GGB164000495,더샵그린워크1단지,37.3982167,126.6408167,2023-10-16,38495.0,23,인천광역시,경기,송도동
56155,GGB164000496,청학중학교,37.4179333,126.6696333,2023-10-16,38496.0,23,인천광역시,경기,청학동
56156,GGB164000499,인천대학교공과대학,37.3717333,126.6334333,2023-10-16,38499.0,23,인천광역시,경기,송도동
56157,GGB164000500,인천가톨릭대,37.3834667,126.6435833,2023-10-16,38500.0,23,인천광역시,경기,송도동
56158,GGB164000505,송도역,37.4283833,126.6550333,2023-10-16,38505.0,23,인천광역시,경기,옥련동
56159,GGB164000514,경제자유구역청,37.39705,126.6336833,2023-10-16,38514.0,23,인천광역시,경기,송도동
56160,GGB164000515,경제자유구역청,37.3968333,126.6338833,2023-10-16,38515.0,23,인천광역시,경기,송도동
56161,GGB164000528,국제업무지구역,37.3989333,126.6305667,2023-10-16,38528.0,23,인천광역시,경기,송도동
56162,GGB164000554,송도힐스테이트6단지,37.39395,126.6469,2023-10-16,38554.0,23,인천광역시,경기,송도동
56163,GGB164000558,인천송일초등학교,37.3844167,126.63605,2023-10-16,38558.0,23,인천광역시,경기,송도동
56164,GGB164000569,동춘동차고지,37.3994167,126.66835,2023-10-16,38569.0,23,인천광역시,경기,동춘동
56165,GGB164000575,인천송일초등학교,37.38445,126.6355833,2023-10-16,38575.0,23,인천광역시,경기,송도동
56166,GGB164000584,송학둥지아파트,37.4302333,126.6492333,2023-10-16,38584.0,23,인천광역시,경기,옥련동
56167,GGB164000585,송학둥지아파트,37.4299,126.6490833,2023-10-16,38585.0,23,인천광역시,경기,옥련동
56168,GGB164000591,대우삼환아파트,37.4049667,126.6766167,2023-10-16,38591.0,23,인천광역시,경기,동춘동
56169,GGB164000592,예송중학교,37.3840667,126.6277,2023-10-16,38592.0,23,인천광역시,경기,송도동
56170,GGB164000593,예송중학교,37.3842,126.62785,2023-10-16,38593.0,23,인천광역시,경기,송도동
56171,GGB164000597,송도국제교입구,37.3919667,126.6672333,2023-10-16,38597.0,23,인천광역시,경기,송도동
56172,GGB164000619,국제업무지구역5번출구,37.3999167,126.6308333,2023-10-16,38619.0,23,인천광역시,경기,송도동
56173,GGB164000622,e편한세상(109동앞),37.40965,126.61685,2023-10-16,32062.0,23,인천광역시,경기,송도동
56174,GGB164000626,e편한세상정문,37.4136333,126.6171,2023-10-16,38624.0,23,인천광역시,경기,송도동
56175,GGB164000627,송도파크레인동일하이빌,37.40565,126.6575167,2023-10-16,38625.0,23,인천광역시,경기,동춘동
56176,GGB164000628,송도파크레인동일하이빌,37.4071333,126.65695,2023-10-16,38626.0,23,인천광역시,경기,동춘동
56177,GGB164000629,송도파크자이,37.4102667,126.6552667,2023-10-16,38627.0,23,인천광역시,경기,동춘동
56178,GGB164000630,송도파크자이,37.40865,126.6558833,2023-10-16,38628.0,23,인천광역시,경기,동춘동
56179,GGB164000632,힐스테이트레이크송도(후문),37.3991833,126.6200667,2023-10-16,38630.0,23,인천광역시,경기,송도동
56180,GGB164000640,송도파크자이아파트,37.41245,126.6556,2023-10-16,38638.0,23,인천광역시,경기,동춘동
56181,GGB164000643,힐스테이트레이크송도2차(201동),37.396,126.6188,2023-10-16,38641.0,23,인천광역시,경기,송도동
56182,GGB164000644,송도호반베르디움3차에듀시티,37.4138333,126.6169333,2023-10-16,38642.0,23,인천광역시,경기,송도동
56183,GGB164000645,e편한세상(109동앞),37.4093667,126.6166833,2023-10-16,38643.0,23,인천광역시,경기,송도동
56184,GGB164000647,랜드마크시티센트럴더샵(203동),37.4146667,126.6228333,2023-10-16,38645.0,23,인천광역시,경기,송도동
56185,GGB164000652,랜드마크시티센트럴더샵(203동),37.4148333,126.6227,2023-10-16,38650.0,23,인천광역시,경기,송도동
56186,GGB164000653,송도세브란스병원,37.383,126.6805167,2023-10-16,38651.0,23,인천광역시,경기,송도동
56187,GGB164000654,인천항신국제여객터미널,37.42315,126.6054833,2023-10-16,38652.0,23,인천광역시,경기,송도동
56188,GGB164000655,미송초등학교,37.4146167,126.6145,2023-10-16,38653.0,23,인천광역시,경기,송도동
56189,GGB164000656,미송초등학교,37.41445,126.6141833,2023-10-16,38654.0,23,인천광역시,경기,송도동
56190,GGB164000657,힐스테이트레이크송도1차입구,37.4013,126.6200833,2023-10-16,38655.0,23,인천광역시,경기,송도동
56191,GGB164000658,힐스테이트레이크송도(후문),37.3996333,126.6199333,2023-10-16,38656.0,23,인천광역시,경기,송도동
56192,GGB164000659,힐스테이트레이크송도2차(201동),37.3959333,126.6185167,2023-10-16,38657.0,23,인천광역시,경기,송도동
56193,GGB164000662,송도컨벤시아남문,37.3870333,126.64335,2023-10-16,38660.0,23,인천광역시,경기,송도동
56194,GGB164000663,송도컨벤시아남문,37.3867667,126.6443833,2023-10-16,38661.0,23,인천광역시,경기,송도동
56195,GGB164000664,인천항신국제여객터미널,37.4237667,126.6058333,2023-10-16,38662.0,23,인천광역시,경기,송도동
56196,GGB164000665,송도누리공원,37.3774333,126.6568,2023-10-16,38663.0,23,인천광역시,경기,송도동
56197,GGB164000666,송도누리공원,37.3775333,126.6565,2023-10-16,38664.0,23,인천광역시,경기,송도동
56198,GGB164000669,송담초등학교,37.4114833,126.6150333,2023-10-16,38667.0,23,인천광역시,경기,송도동
56199,GGB164000670,송담초등학교,37.4115667,126.6153667,2023-10-16,38668.0,23,인천광역시,경기,송도동
56200,GGB164000678,인천교회,37.4127333,126.65575,2023-10-16,38676.0,23,인천광역시,경기,동춘동
56201,GGB164000694,송도더샵마스터뷰23단지(정문),37.3822333,126.6325333,2023-10-16,38692.0,23,인천광역시,경기,송도동
56202,GGB164000695,송도더샵마스터뷰22단지,37.3819667,126.6307667,2023-10-16,38693.0,23,인천광역시,경기,송도동
56203,GGB164000696,송도더샵마스터뷰22단지(정문),37.3821667,126.6321667,2023-10-16,38694.0,23,인천광역시,경기,송도동
56204,GGB164000697,송도더샵마스터뷰22단지,37.3821167,126.6308667,2023-10-16,38695.0,23,인천광역시,경기,송도동
56205,GGB164000698,송도달빛축제공원역,37.4074,126.6258333,2023-10-16,38696.0,23,인천광역시,경기,송도동
56206,GGB164000699,송도달빛축제공원역,37.4072333,126.6255667,2023-10-16,38697.0,23,인천광역시,경기,송도동
56207,GGB164000701,송도체육센터,37.38675,126.6698167,2023-10-16,38699.0,23,인천광역시,경기,송도동
56208,GGB164000702,송도체육센터,37.3868833,126.6698667,2023-10-16,38700.0,23,인천광역시,경기,송도동
56209,GGB164000705,송도제2차고지,37.3668667,126.6652667,2023-10-16,38703.0,23,인천광역시,경기,송도동
56210,GGB164000709,송도sk뷰,37.4127833,126.6245333,2023-10-16,38707.0,23,인천광역시,경기,송도동
56211,GGB164000710,송도sk뷰,37.4128833,126.6241667,2023-10-16,38708.0,23,인천광역시,경기,송도동
56212,GGB164000715,힐스테이트송도더테라스(후문),37.4103833,126.6247667,2023-10-16,38713.0,23,인천광역시,경기,송도동
56213,GGB164000716,힐스테이트송도더테라스(후문),37.4104167,126.6251833,2023-10-16,38714.0,23,인천광역시,경기,송도동
56214,GGB164000729,아암3교사거리,37.4255833,126.6140667,2023-10-16,38727.0,23,인천광역시,경기,송도동
56215,GGB164000730,아암3교사거리,37.4255,126.6145,2023-10-16,38728.0,23,인천광역시,경기,송도동
56216,GGB164000740,송도랜드마크시티13호근린공원,37.3871333,126.6177167,2023-10-16,38738.0,23,인천광역시,경기,송도동
56217,GGB164000741,송도랜드마크시티13호근린공원,37.3870167,126.6173833,2023-10-16,38739.0,23,인천광역시,경기,송도동
56218,GGB164000746,현송중학교,37.3931,126.6185833,2023-10-16,38744.0,23,인천광역시,경기,송도동
56219,GGB164000747,현송중학교,37.3929333,126.6189,2023-10-16,38745.0,23,인천광역시,경기,송도동
56220,GGB164000753,힐스테이트레이크송도1차입구,37.4014833,126.61975,2023-10-16,38751.0,23,인천광역시,경기,송도동
56221,GGB167000385,귤현감리교회,37.56705,126.7472833,2023-10-16,41385.0,23,인천광역시,경기,귤현동
